SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4914.9,4914.9,4774.25,4781.25,4781.25,4869.65,888,4196,20180150,
500003,AEGIS LOGIS ,A ,Q,366.3,369.8,361.3,364.05,364.4,365.65,1896,66120,24217209,
500008,ARE&M       ,A ,Q,800,806.2,799,802.65,802.65,795.8,1586,27996,22467106,
500009,A.SARABHAI  ,XT,Q,41.49,43.32,41.48,43.32,43.32,41.26,282,185530,8014380,
500012,ANDHRA PETRO,X ,Q,102.7,103.9,99.03,99.54,99.54,101.68,1303,273009,27584070,
500014,UTIQUE      ,X ,Q,9.12,9.25,8.85,8.88,8.99,8.95,416,147006,1337211,
500016,ARUNAHTEL   ,X ,Q,22.66,23.38,20.53,20.81,20.94,22.3,615,241099,5212252,
500020,BOM DYEING  ,A ,Q,160,164.15,157.6,159.55,159.55,157.6,4218,346172,55877968,
500023,ASIANHOTNR  ,T ,Q,198.15,204.7,195,195.2,195,198.15,31,378,74898,
500027,ATUL LTD.   ,A ,Q,6899.45,6903.4,6842.9,6860.7,6853.5,6860.95,258,594,4086562,
500028,ATV PROJECTS,XT,Q,18.72,18.72,17.85,18.72,18.72,17.83,320,198899,3716020,
500031,BAJAJ ELECT.,A ,Q,1066.55,1066.55,1033.05,1038.15,1041.1,1057.2,350,2441,2556778,
500032,BAJAJHIND   ,A ,Q,28.07,28.18,27.74,27.79,27.79,28.02,4928,1624869,45423790,
500033,FORCE MOTR  ,A ,Q,3687.7,3719,3636,3672.35,3672.35,3693.85,1372,8589,31575068,
500034,BAJFINANCE  ,A ,Q,7675.85,7717.8,7615,7655.35,7655.35,7670.7,7543,35033,268251113,
500038,BALRAM.CHINI,A ,Q,398.85,399.1,389.75,391.2,391,394.05,1525,61268,24058030,
500039,BANCO PROD. ,B ,Q,688.15,695.7,675.65,689.9,684.05,684.75,1846,47990,33119016,
500040,CENTURY TEXT,A ,Q,1547.2,1550,1480.2,1492.4,1491,1546.25,1128,11826,17939300,
